question,answer,category
How do I open a savings account?,"You can open a savings account by visiting your nearest branch with valid ID proof (Aadhaar/PAN/Passport), address proof, and a passport-size photograph. Most banks also allow online account opening via their mobile app using video KYC.",Account Opening
What documents are required for KYC?,"KYC requires: a valid photo ID (Aadhaar, PAN, Passport, or Voter ID), proof of address (utility bill, rental agreement, or Aadhaar), and a recent passport-size photograph. NRIs need additional documents like a valid visa and overseas address proof.",KYC
What is the minimum balance required for a savings account?,"Minimum balance requirements vary by account type and bank, typically ranging from ₹0 (basic/Jan Dhan accounts) to ₹10,000 for premium accounts. Check your specific account's terms in the passbook or net banking portal.",Account Opening
How do I apply for a personal loan?,"You can apply for a personal loan online via net banking/mobile app, or visit a branch. You'll need income proof (salary slips or ITR), ID proof, address proof, and bank statements for the last 3-6 months. Approval typically takes 24-72 hours for pre-approved customers.",Loans
What is the interest rate on a home loan?,"Home loan interest rates typically range from 8.5% to 10.5% per annum depending on the bank, loan amount, tenure, and your credit score. Rates are usually linked to the repo rate (floating) or fixed for the initial years.",Loans
How do I check my loan eligibility?,"Loan eligibility depends on your income, existing EMIs, credit score (CIBIL), age, and employment stability. Most banks offer an online EMI/eligibility calculator on their website where you can get an instant estimate.",Loans
"My debit card is lost, what should I do?","Immediately block your card via net banking, the mobile app, or by calling 24x7 customer care. Once blocked, you can request a replacement card which usually arrives within 5-7 working days.",Cards
How do I activate my new credit card?,"New credit cards can be activated via the bank's mobile app, net banking portal, by calling customer care, or via an OTP-based activation link sent to your registered mobile number.",Cards
What is the credit card billing cycle?,"The billing cycle is typically 30 days, after which a statement is generated. You get an interest-free period (usually 20-50 days from purchase date) to pay the full amount without interest charges.",Cards
How do I increase my credit card limit?,"You can request a credit limit increase via net banking, mobile app, or customer care. Approval depends on your repayment history, income, and credit score. Some banks auto-review limits every 6-12 months.",Cards
How do I reset my net banking password?,"Click 'Forgot Password' on the login page, verify your identity using your registered mobile number/email OTP and date of birth, then set a new password following the bank's complexity rules.",Online Banking
Is net banking safe?,"Yes, banks use multi-factor authentication, encryption (SSL/TLS), and OTP verification for transactions. Never share your OTP, password, or CVV with anyone, including bank staff.",Online Banking
How do I set up UPI on my phone?,"Download your bank's UPI app or a UPI-enabled app (like the bank's own app), link your registered mobile number, verify via OTP, set a UPI PIN, and link your bank account using your debit card details.",Online Banking
What is the daily UPI transaction limit?,"UPI transaction limits are typically ₹1,00,000 per day per bank account, though this can vary by bank and transaction type. New UPI accounts may have a lower limit (₹5,000) for the first 24 hours.",Online Banking
How do I close my bank account?,"Visit your branch with a written application, your passbook, unused cheque leaves, and debit card. Ensure your account balance is zero or withdraw remaining funds. Closure typically takes 7-10 working days.",Account Closure
What happens if I don't maintain minimum balance?,"Banks charge a non-maintenance penalty, usually ₹100-₹600 per quarter depending on the shortfall amount and account type. Basic savings accounts (BSBDA) are exempt from this penalty.",Account Opening
How do I update my registered mobile number?,"Visit your branch with ID proof and submit a mobile number update request, or use the net banking/mobile app's self-service option if biometric/Aadhaar-based verification is enabled.",KYC
What is a fixed deposit and how do I open one?,"A fixed deposit (FD) is a lump-sum investment for a fixed tenure at a fixed interest rate, higher than savings accounts. You can open one instantly via net banking/mobile app by transferring funds from your savings account.",Deposits
Can I withdraw my FD before maturity?,"Yes, premature withdrawal is allowed but usually attracts a penalty of 0.5%-1% reduction in the applicable interest rate. Some tax-saver FDs (5-year lock-in) do not allow premature withdrawal.",Deposits
How do I dispute an unauthorized transaction?,Report it immediately via customer care or net banking's 'raise a dispute' option. Banks are required to investigate and typically resolve/reverse unauthorized digital transactions within 7-10 working days if reported within 3 days.,Fraud & Disputes
